Rezultatul final pentru luna decembrie: 
Cost: 380.300000
Hour:|	EPv:|	EGeo:|	EBio:|	EBat:|	EExcess:|	Es:|	ELoad:|
1|	0|	427|	1428|	-1855|	0|	-831|	0|	
2|	0|	1147|	1001|	-1898|	0|	1067|	250|	
3|	0|	496|	1500|	37|	0|	1030|	2800|	
4|	0|	449|	973|	1000|	278|	30|	2700|	
5|	0|	726|	1083|	-1809|	0|	1839|	0|	
6|	0|	927|	1500|	-2127|	0|	3966|	300|	
7|	0|	279|	1073|	-752|	0|	4718|	600|	
8|	0|	342|	293|	985|	0|	3733|	3400|	
9|	108|	611|	1141|	569|	0|	3164|	3500|	
10|	356|	1500|	437|	-1693|	0|	4857|	600|	
11|	846|	210|	1400|	-1856|	0|	6713|	600|	
12|	243|	676|	151|	-970|	0|	7683|	100|	
13|	1019|	669|	1246|	-2734|	0|	10417|	200|	
14|	366|	1146|	359|	-1871|	0|	12288|	0|	
15|	504|	1286|	721|	-2511|	0|	14799|	0|	
16|	65|	717|	927|	-1409|	0|	16208|	300|	
17|	0|	710|	930|	-1640|	0|	17848|	0|	
18|	0|	1031|	125|	-956|	0|	18804|	200|	
19|	0|	363|	991|	1000|	131|	17804|	3500|	
20|	0|	964|	1500|	-433|	0|	18237|	3600|	
21|	0|	1355|	648|	991|	0|	17246|	3600|	
22|	0|	89|	377|	1000|	13|	16246|	3700|	
23|	0|	689|	147|	997|	0|	15249|	3500|	
24|	0|	1487|	1221|	-2708|	0|	17957|	0|	
